from,to,from_code,to_code,from_type,to_type,from_dir,to_dir,distance
120022,703081,120.0,703.0,1.0,1.0,-1.0,-1.0,2111.5
703081,120022,703.0,120.0,1.0,1.0,-1.0,-1.0,2100.7
120022,703082,120.0,703.0,1.0,1.0,-1.0,-1.0,2111.5
703082,120022,703.0,120.0,1.0,1.0,-1.0,-1.0,2100.7
120022,703091,120.0,703.0,1.0,1.0,-1.0,1.0,2111.5
703091,120022,703.0,120.0,1.0,1.0,1.0,-1.0,2100.7
120022,703111,120.0,703.0,1.0,-1.0,-1.0,-1.0,2046.7
703111,120022,703.0,120.0,-1.0,1.0,-1.0,-1.0,2026.9
120022,703112,120.0,703.0,1.0,-1.0,-1.0,-1.0,2046.7
703112,120022,703.0,120.0,-1.0,1.0,-1.0,-1.0,2026.9
120022,709011,120.0,709.0,1.0,1.0,-1.0,1.0,1921.6
709011,120022,709.0,120.0,1.0,1.0,1.0,-1.0,1931.9
120022,709021,120.0,709.0,1.0,1.0,-1.0,-1.0,1921.6
709021,120022,709.0,120.0,1.0,1.0,-1.0,-1.0,1931.9
120022,709081,120.0,709.0,1.0,1.0,-1.0,-1.0,1938.5
709081,120022,709.0,120.0,1.0,1.0,-1.0,-1.0,1948.8
120022,709082,120.0,709.0,1.0,1.0,-1.0,0.0,1938.5
709082,120022,709.0,120.0,1.0,1.0,0.0,-1.0,1948.8
120022,709083,120.0,709.0,1.0,1.0,-1.0,1.0,1938.5
709083,120022,709.0,120.0,1.0,1.0,1.0,-1.0,1948.8
120022,709101,120.0,709.0,1.0,-1.0,-1.0,-1.0,1938.5
709101,120022,709.0,120.0,-1.0,1.0,-1.0,-1.0,1948.8
120022,709111,120.0,709.0,1.0,0.0,-1.0,-1.0,1938.5
709111,120022,709.0,120.0,0.0,1.0,-1.0,-1.0,1948.8
120022,709112,120.0,709.0,1.0,0.0,-1.0,-1.0,1938.5
709112,120022,709.0,120.0,0.0,1.0,-1.0,-1.0,1948.8
120022,709121,120.0,709.0,1.0,-1.0,-1.0,-1.0,1938.5
709121,120022,709.0,120.0,-1.0,1.0,-1.0,-1.0,1948.8
120022,709651,120.0,709.0,1.0,0.0,-1.0,1.0,1921.6
709651,120022,709.0,120.0,0.0,1.0,1.0,-1.0,1931.9
120022,709652,120.0,709.0,1.0,0.0,-1.0,1.0,1921.6
709652,120022,709.0,120.0,0.0,1.0,1.0,-1.0,1931.9
120022,709661,120.0,709.0,1.0,-1.0,-1.0,1.0,1921.6
709661,120022,709.0,120.0,-1.0,1.0,1.0,-1.0,1931.9
120022,709711,120.0,709.0,1.0,0.0,-1.0,-1.0,1938.5
709711,120022,709.0,120.0,0.0,1.0,-1.0,-1.0,1948.8
120022,709712,120.0,709.0,1.0,0.0,-1.0,-1.0,1938.5
709712,120022,709.0,120.0,0.0,1.0,-1.0,-1.0,1948.8
120022,711021,120.0,711.0,1.0,1.0,-1.0,1.0,1780.4
711021,120022,711.0,120.0,1.0,1.0,1.0,-1.0,1790.8
120022,711022,120.0,711.0,1.0,1.0,-1.0,-1.0,1780.4
711022,120022,711.0,120.0,1.0,1.0,-1.0,-1.0,1790.8
120022,710051,120.0,710.0,1.0,0.0,-1.0,1.0,1923.0
710051,120022,710.0,120.0,0.0,1.0,1.0,-1.0,1882.6
120022,710052,120.0,710.0,1.0,0.0,-1.0,1.0,1923.0
710052,120022,710.0,120.0,0.0,1.0,1.0,-1.0,1882.6
120022,710053,120.0,710.0,1.0,0.0,-1.0,1.0,1923.0
710053,120022,710.0,120.0,0.0,1.0,1.0,-1.0,1882.6
120022,711081,120.0,711.0,1.0,1.0,-1.0,0.0,1805.2
711081,120022,711.0,120.0,1.0,1.0,0.0,-1.0,1815.5
120022,712111,120.0,712.0,1.0,-1.0,-1.0,-1.0,1900.4
712111,120022,712.0,120.0,-1.0,1.0,-1.0,-1.0,1825.9
120022,712112,120.0,712.0,1.0,0.0,-1.0,-1.0,1900.4
712112,120022,712.0,120.0,0.0,1.0,-1.0,-1.0,1825.9
120022,712113,120.0,712.0,1.0,0.0,-1.0,-1.0,1900.4
712113,120022,712.0,120.0,0.0,1.0,-1.0,-1.0,1825.9
120022,712181,120.0,712.0,1.0,1.0,-1.0,-1.0,1928.4
712181,120022,712.0,120.0,1.0,1.0,-1.0,-1.0,1842.3
120022,712182,120.0,712.0,1.0,1.0,-1.0,1.0,1928.4
712182,120022,712.0,120.0,1.0,1.0,1.0,-1.0,1842.3
120022,711651,120.0,711.0,1.0,0.0,-1.0,1.0,1780.4
711651,120022,711.0,120.0,0.0,1.0,1.0,-1.0,1790.8
120022,711652,120.0,711.0,1.0,0.0,-1.0,1.0,1780.4
711652,120022,711.0,120.0,0.0,1.0,1.0,-1.0,1790.8
120022,711653,120.0,711.0,1.0,0.0,-1.0,1.0,1780.4
711653,120022,711.0,120.0,0.0,1.0,1.0,-1.0,1790.8
120022,711661,120.0,711.0,1.0,-1.0,-1.0,1.0,1780.4
711661,120022,711.0,120.0,-1.0,1.0,1.0,-1.0,1790.8
120022,710681,120.0,710.0,1.0,1.0,-1.0,1.0,1938.7
710681,120022,710.0,120.0,1.0,1.0,1.0,-1.0,1930.3
120022,710682,120.0,710.0,1.0,1.0,-1.0,0.0,1938.7
710682,120022,710.0,120.0,1.0,1.0,0.0,-1.0,1930.3
120022,711711,120.0,711.0,1.0,-1.0,-1.0,-1.0,1805.2
711711,120022,711.0,120.0,-1.0,1.0,-1.0,-1.0,1815.5
120022,711712,120.0,711.0,1.0,0.0,-1.0,-1.0,1805.2
711712,120022,711.0,120.0,0.0,1.0,-1.0,-1.0,1815.5
120022,711713,120.0,711.0,1.0,0.0,-1.0,-1.0,1805.2
711713,120022,711.0,120.0,0.0,1.0,-1.0,-1.0,1815.5
120022,711721,120.0,711.0,1.0,-1.0,-1.0,-1.0,1805.2
711721,120022,711.0,120.0,-1.0,1.0,-1.0,-1.0,1815.5
120022,712751,120.0,712.0,1.0,0.0,-1.0,1.0,1862.7
712751,120022,712.0,120.0,0.0,1.0,1.0,-1.0,1788.6
120022,712752,120.0,712.0,1.0,0.0,-1.0,1.0,1862.7
712752,120022,712.0,120.0,0.0,1.0,1.0,-1.0,1788.6
120022,712753,120.0,712.0,1.0,0.0,-1.0,1.0,1862.7
712753,120022,712.0,120.0,0.0,1.0,1.0,-1.0,1788.6
120022,712754,120.0,712.0,1.0,-1.0,-1.0,1.0,1862.7
712754,120022,712.0,120.0,-1.0,1.0,1.0,-1.0,1788.6
120022,710801,120.0,710.0,1.0,-1.0,-1.0,-1.0,1907.0
710801,120022,710.0,120.0,-1.0,1.0,-1.0,-1.0,1898.6
120022,710811,120.0,710.0,1.0,0.0,-1.0,-1.0,1907.0
710811,120022,710.0,120.0,0.0,1.0,-1.0,-1.0,1898.6
120022,710812,120.0,710.0,1.0,0.0,-1.0,-1.0,1907.0
710812,120022,710.0,120.0,0.0,1.0,-1.0,-1.0,1898.6
120023,120023,120.0,120.0,1.0,1.0,1.0,1.0,0.0
120023,120051,120.0,120.0,1.0,0.0,1.0,-1.0,27.4
120051,120023,120.0,120.0,0.0,1.0,-1.0,1.0,27.4
120023,120081,120.0,120.0,1.0,1.0,1.0,0.0,30.2
120081,120023,120.0,120.0,1.0,1.0,0.0,1.0,38.4
120023,120111,120.0,120.0,1.0,0.0,1.0,1.0,0.0
120111,120023,120.0,120.0,0.0,1.0,1.0,1.0,0.0
120023,120112,120.0,120.0,1.0,0.0,1.0,1.0,0.0
120112,120023,120.0,120.0,0.0,1.0,1.0,1.0,0.0
120023,120113,120.0,120.0,1.0,-1.0,1.0,1.0,0.0
120113,120023,120.0,120.0,-1.0,1.0,1.0,1.0,0.0
120023,134021,120.0,134.0,1.0,0.0,1.0,0.0,719.7
134021,120023,134.0,120.0,0.0,1.0,0.0,1.0,695.2
120023,134031,120.0,134.0,1.0,1.0,1.0,1.0,719.7
134031,120023,134.0,120.0,1.0,1.0,1.0,1.0,695.2
120023,134041,120.0,134.0,1.0,-1.0,1.0,-1.0,702.3
134041,120023,134.0,120.0,-1.0,1.0,-1.0,1.0,712.6
120023,134051,120.0,134.0,1.0,0.0,1.0,-1.0,702.3
134051,120023,134.0,120.0,0.0,1.0,-1.0,1.0,712.6
120023,134081,120.0,134.0,1.0,1.0,1.0,-1.0,702.3
134081,120023,134.0,120.0,1.0,1.0,-1.0,1.0,712.6
120023,134111,120.0,134.0,1.0,0.0,1.0,1.0,719.7
134111,120023,134.0,120.0,0.0,1.0,1.0,1.0,695.2
120023,134112,120.0,134.0,1.0,0.0,1.0,1.0,719.7
134112,120023,134.0,120.0,0.0,1.0,1.0,1.0,695.2
120023,140031,120.0,140.0,1.0,1.0,1.0,1.0,1238.0
140031,120023,140.0,120.0,1.0,1.0,1.0,1.0,1212.2
120023,140041,120.0,140.0,1.0,-1.0,1.0,-1.0,1222.5
140041,120023,140.0,120.0,-1.0,1.0,-1.0,1.0,1227.7
120023,140051,120.0,140.0,1.0,0.0,1.0,-1.0,1222.5
140051,120023,140.0,120.0,0.0,1.0,-1.0,1.0,1227.7
120023,140111,120.0,140.0,1.0,0.0,1.0,1.0,1255.6
140111,120023,140.0,120.0,0.0,1.0,1.0,1.0,1194.7
120023,140121,120.0,140.0,1.0,-1.0,1.0,1.0,1255.6
140121,120023,140.0,120.0,-1.0,1.0,1.0,1.0,1194.7
120023,159051,120.0,159.0,1.0,0.0,1.0,-1.0,1924.8
159051,120023,159.0,120.0,0.0,1.0,-1.0,1.0,1948.8
120023,159052,120.0,159.0,1.0,0.0,1.0,-1.0,1924.8
159052,120023,159.0,120.0,0.0,1.0,-1.0,1.0,1948.8
120023,159082,120.0,159.0,1.0,1.0,1.0,0.0,1924.8
159082,120023,159.0,120.0,1.0,1.0,0.0,1.0,1948.8
120023,159111,120.0,159.0,1.0,0.0,1.0,1.0,1970.5
159111,120023,159.0,120.0,0.0,1.0,1.0,1.0,1895.5
120023,159112,120.0,159.0,1.0,0.0,1.0,1.0,1970.5
159112,120023,159.0,120.0,0.0,1.0,1.0,1.0,1895.5
120023,159651,120.0,159.0,1.0,0.0,1.0,-1.0,1882.8
159651,120023,159.0,120.0,0.0,1.0,-1.0,1.0,1990.7
120023,159652,120.0,159.0,1.0,0.0,1.0,-1.0,1882.8
159652,120023,159.0,120.0,0.0,1.0,-1.0,1.0,1990.7
120023,159711,120.0,159.0,1.0,0.0,1.0,1.0,1924.8
159711,120023,159.0,120.0,0.0,1.0,1.0,1.0,1948.8
120023,159712,120.0,159.0,1.0,0.0,1.0,1.0,1882.8
159712,120023,159.0,120.0,0.0,1.0,1.0,1.0,1990.7
120023,159713,120.0,159.0,1.0,-1.0,1.0,1.0,1933.9
159713,120023,159.0,120.0,-1.0,1.0,1.0,1.0,1939.6
120023,405021,120.0,405.0,1.0,1.0,1.0,-1.0,423.7
405021,120023,405.0,120.0,1.0,1.0,-1.0,1.0,436.7
120023,405022,120.0,405.0,1.0,1.0,1.0,-1.0,423.7
405022,120023,405.0,120.0,1.0,1.0,-1.0,1.0,436.7
120023,405031,120.0,405.0,1.0,1.0,1.0,1.0,416.1
405031,120023,405.0,120.0,1.0,1.0,1.0,1.0,423.3
120023,405032,120.0,405.0,1.0,1.0,1.0,1.0,416.1
405032,120023,405.0,120.0,1.0,1.0,1.0,1.0,423.3
120023,405041,120.0,405.0,1.0,-1.0,1.0,-1.0,362.3
405041,120023,405.0,120.0,-1.0,1.0,-1.0,1.0,361.5
120023,405051,120.0,405.0,1.0,0.0,1.0,-1.0,362.3
405051,120023,405.0,120.0,0.0,1.0,-1.0,1.0,361.5
120023,405071,120.0,405.0,1.0,0.0,1.0,1.0,432.1
405071,120023,405.0,120.0,0.0,1.0,1.0,1.0,407.3
120023,405081,120.0,405.0,1.0,-1.0,1.0,1.0,432.1
405081,120023,405.0,120.0,-1.0,1.0,1.0,1.0,407.3
120023,405082,120.0,405.0,1.0,-1.0,1.0,1.0,432.1
405082,120023,405.0,120.0,-1.0,1.0,1.0,1.0,407.3
120023,405091,120.0,405.0,1.0,-1.0,1.0,1.0,437.8
405091,120023,405.0,120.0,-1.0,1.0,1.0,1.0,422.6
120023,405101,120.0,405.0,1.0,1.0,1.0,-1.0,437.8
405101,120023,405.0,120.0,1.0,1.0,-1.0,1.0,422.6
120023,405111,120.0,405.0,1.0,1.0,1.0,1.0,437.8
405111,120023,405.0,120.0,1.0,1.0,1.0,1.0,422.6
120023,405641,120.0,405.0,1.0,-1.0,1.0,-1.0,408.0
405641,120023,405.0,120.0,-1.0,1.0,-1.0,1.0,431.5
120023,405651,120.0,405.0,1.0,-1.0,1.0,-1.0,408.0
405651,120023,405.0,120.0,-1.0,1.0,-1.0,1.0,431.5
120023,405661,120.0,405.0,1.0,0.0,1.0,-1.0,408.0
405661,120023,405.0,120.0,0.0,1.0,-1.0,1.0,431.5
120023,405681,120.0,405.0,1.0,1.0,1.0,0.0,362.3
405681,120023,405.0,120.0,1.0,1.0,0.0,1.0,361.5
120023,405711,120.0,405.0,1.0,0.0,1.0,1.0,362.3
405711,120023,405.0,120.0,0.0,1.0,1.0,1.0,361.5
120023,405712,120.0,405.0,1.0,0.0,1.0,1.0,362.3
405712,120023,405.0,120.0,0.0,1.0,1.0,1.0,361.5
120023,405721,120.0,405.0,1.0,-1.0,1.0,1.0,362.3
405721,120023,405.0,120.0,-1.0,1.0,1.0,1.0,361.5
120023,406011,120.0,406.0,1.0,-1.0,1.0,-1.0,926.5
406011,120023,406.0,120.0,-1.0,1.0,-1.0,1.0,922.6
120023,406021,120.0,406.0,1.0,0.0,1.0,-1.0,926.5
406021,120023,406.0,120.0,0.0,1.0,-1.0,1.0,922.6
120023,406022,120.0,406.0,1.0,0.0,1.0,-1.0,926.5
406022,120023,406.0,120.0,0.0,1.0,-1.0,1.0,922.6
120023,406081,120.0,406.0,1.0,0.0,1.0,1.0,1231.4
406081,120023,406.0,120.0,0.0,1.0,1.0,1.0,1507.6
120023,406082,120.0,406.0,1.0,0.0,1.0,1.0,1231.4
406082,120023,406.0,120.0,0.0,1.0,1.0,1.0,1507.6
120023,406091,120.0,406.0,1.0,-1.0,1.0,1.0,1231.4
406091,120023,406.0,120.0,-1.0,1.0,1.0,1.0,1507.6
120023,406101,120.0,406.0,1.0,1.0,1.0,-1.0,1262.2
406101,120023,406.0,120.0,1.0,1.0,-1.0,1.0,947.5
120023,406121,120.0,406.0,1.0,1.0,1.0,1.0,1262.2
406121,120023,406.0,120.0,1.0,1.0,1.0,1.0,947.5
120023,701021,120.0,701.0,1.0,1.0,1.0,0.0,2098.0
701021,120023,701.0,120.0,1.0,1.0,0.0,1.0,1878.3
120023,701051,120.0,701.0,1.0,0.0,1.0,1.0,2090.9
701051,120023,701.0,120.0,0.0,1.0,1.0,1.0,1885.4
120023,701052,120.0,701.0,1.0,0.0,1.0,1.0,2090.9
701052,120023,701.0,120.0,0.0,1.0,1.0,1.0,1885.4
120023,701111,120.0,701.0,1.0,-1.0,1.0,-1.0,2105.9
701111,120023,701.0,120.0,-1.0,1.0,-1.0,1.0,1900.5
120023,701112,120.0,701.0,1.0,0.0,1.0,-1.0,2105.9
701112,120023,701.0,120.0,0.0,1.0,-1.0,1.0,1900.5
120023,701113,120.0,701.0,1.0,0.0,1.0,-1.0,2105.9
701113,120023,701.0,120.0,0.0,1.0,-1.0,1.0,1900.5
120023,701121,120.0,701.0,1.0,-1.0,1.0,-1.0,2105.9
701121,120023,701.0,120.0,-1.0,1.0,-1.0,1.0,1900.5
120023,702011,120.0,702.0,1.0,1.0,1.0,1.0,1820.2
702011,120023,702.0,120.0,1.0,1.0,1.0,1.0,1854.3
120023,702031,120.0,702.0,1.0,1.0,1.0,-1.0,1820.2
702031,120023,702.0,120.0,1.0,1.0,-1.0,1.0,1854.3
120023,702041,120.0,702.0,1.0,-1.0,1.0,1.0,1857.8
702041,120023,702.0,120.0,-1.0,1.0,1.0,1.0,1816.7
120023,702051,120.0,702.0,1.0,0.0,1.0,1.0,1857.8
702051,120023,702.0,120.0,0.0,1.0,1.0,1.0,1816.7
120023,702052,120.0,702.0,1.0,0.0,1.0,1.0,1857.8
702052,120023,702.0,120.0,0.0,1.0,1.0,1.0,1816.7
120023,702111,120.0,702.0,1.0,0.0,1.0,-1.0,1839.1
702111,120023,702.0,120.0,0.0,1.0,-1.0,1.0,1835.4
120023,702112,120.0,702.0,1.0,0.0,1.0,-1.0,1839.1
702112,120023,702.0,120.0,0.0,1.0,-1.0,1.0,1835.4
120023,702121,120.0,702.0,1.0,-1.0,1.0,-1.0,1839.1
702121,120023,702.0,120.0,-1.0,1.0,-1.0,1.0,1835.4
120023,703021,120.0,703.0,1.0,0.0,1.0,1.0,2090.3
703021,120023,703.0,120.0,0.0,1.0,1.0,1.0,2064.7
